id,sub_dist,Village,longitude,Latitude,B,POINT_X,POINT_Y,DEM,slope_pc,DEM_accu,DEM_flength,DEM_curv,DEM_Plan_Curv,DEM_Prf_Curv,landuse,LST.jan1,LST.apr7,LST.jun26,LST.sep30,NDVI_JAN4,NDVI_Apr4,preciJan2019,preciApr2019,preciJun2019,preciSep2019
5222,Mavelikkara,Noornad,76.62772,9.2024,0.0227,678831.6198,1017635.401,17,5.605363369,2,17.84005547,-1.256803989,-0.628401995,0.628401995,16,29.85000038,34.33000946,27.02999306,28.35000038,0.815098464,0.709525108,0.002988193,0.141276911,0.43450287,0.472926676
5223,Mavelikkara,Noornad,76.61986,9.19355,0.0027,677972.2747,1016652.669,13,0,75,654.703064,0,0,0,29,29.89000893,34.18999481,27.45000648,28.24999428,0.5,0.432289839,0.002515152,0.148369715,0.485214263,0.510528028
5224,Mavelikkara,Noornad,76.62552,9.187398,0.0027,678597.3759,1015975.068,13,0,64,498.1001282,0,0,0,14,30.20998573,33.92998505,27.27001381,28.58999062,0.70178926,0.669687212,0.002988193,0.141276911,0.43450287,0.472926676
5225,Mavelikkara,Noornad,76.62993,9.17433,0.0036,679088.5934,1014531.932,47,3.133493423,1,12.6148243,-0.628401995,0,0.628401995,8,30.29000282,34.61000824,27.29000282,28.4699955,0.235167205,0.227431223,0.002988193,0.141276911,0.43450287,0.472926676
5226,Mavelikkara,Noornad,76.61799,9.187276,0.095,677769.8981,1015957.834,24,0,4,50.45929718,0,0,0,8,30.24999428,33.84999847,27.12999916,28.68999672,0.81312567,0.533011258,0.002515152,0.148369715,0.485214263,0.510528028
5227,Mavelikkara,Noornad,76.63075,9.195225,0.0073,679168.2122,1016843.352,32,1.401340842,0,0,0,0,0,3,29.90999794,33.96999359,27.39000893,28.42998695,0.766451955,0.531536877,0.002988193,0.141276911,0.43450287,0.472926676
5228,Mavelikkara,Noornad,76.61416,9.195176,0.006,677345.0535,1016829.68,23,7.14546442,2,30.45487976,-0.628401995,-0.502721608,0.125680402,3,29.92998695,34.12999725,27.35000038,28.29000282,0.76033932,0.770287812,0.002515152,0.148369715,0.485214263,0.510528028
5229,Mavelikkara,Noornad,76.61777,9.187922,0.34,677745.3982,1016029.173,17,18.21743202,5,78.74981689,0,-0.125680402,-0.125680402,8,29.92998695,34.12999725,27.35000038,28.29000282,0.71191138,0.637742221,0.002515152,0.148369715,0.485214263,0.510528028
5230,Mavelikkara,Noornad,76.61536,9.195967,0.016,677476.5346,1016917.759,15,11.21072674,1,17.84005547,0,0,0,8,29.92998695,34.12999725,27.35000038,28.29000282,0.772207916,0.765303075,0.002515152,0.148369715,0.485214263,0.510528028
5231,Mavelikkara,Noornad,76.63327,9.191598,0.038,679446.9802,1016443.462,21,8.862857819,0,0,0.628401995,0.502721608,-0.125680402,11,29.90999794,33.96999359,27.39000893,28.42998695,0.815408111,0.731235504,0.002988193,0.141276911,0.43450287,0.472926676
